,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CNC Troubleshooting,,,,,,,,,,,,,,,,,

--------------------------------------------------

,,,,,,,,,,,,,,,,,
Week 6,,,,,Day 1,,,Day 2,,,Day 3,,,Day 4,,,Day 5
,,,,,,,,,,,,,,,,,
Process Optimization 105,,,,Period 1,CNC Demo,,,CNC Demo,,,CNC Demo,,,Test Review,,,Notebooks
,,,,,,,,,,,,,,,,,
Tool Life Management 106,,,,,,,,,,,,,,,,,
,,,,Period 2,Shop,,,Shop,,,Shop,,,Mock Interview,,,CNC Training
Production Planning 117,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cost Estimation 106,,,,Period 3,Tooling,,,CNC Demo,,,Tooling,,,Controller Practice,,,Notebooks
,,,,,,,,,,,,,,,,,
Quality Assurance 116,,,,,,,,,,,,,,,,,
,,,,Period 4,CNC Practice,,,Tooling,,,Process Brainstorm,,,Tooling,,,Tooling
Lean Manufacturing 146,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Assembly Drawings 137,,,,Lathe,Demo,,,Practice,,,Practice,,,OFF,,,Review
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shop:,,Class:,,Mill,Demo,,,Practice,,,Practice,,,OFF,,,Review
,,,,,,,,,,,,,,,,,
Production Theory,,Efficiency Metrics,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Workholding,,Metrology,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Emergency Procedures,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Production Run,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Quality Check,,,,,,,,,,,,,,,,,

--------------------------------------------------

,,,,,,,,,,,,,,,,,
Week 7,,,,,Day 1,,,Day 2,,,Day 3,,,Day 4,,,Day 5
,,,,,,,,,,,,,,,,,
Final Project Planning 107,,,,Period 1,Shop,,,Shop,,,Shop,,,Shop,,,Shop
,,,,,,,,,,,,,,,,,
Material Selection 108,,,,,,,,,,,,,,,,,
,,,,Period 2,Shop,,,Shop,,,Shop,,,Shop,,,Shop
Workflow Management 118,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Trig Review 107,,,,Period 3,Tooling,,,Prog Review,,,Process Sheet,,,Process Sheet,,,Open
,,,,,,,,,,,,,,,,,
Speeds/Feeds Review 117,,,,,,,,,,,,,,,,,
,,,,Period 4,Trig Review,,,Tooling,,,Tooling,,,Tooling,,,Tooling
Advanced Setup 147,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Process Sheets 138,,,,Lathe,Project,,,Project,,,Project,,,Project,,,Project
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shop:,,Class:,,Mill,Project,,,Project,,,Project,,,Project,,,Project
,,,,,,,,,,,,,,,,,
Project Theory,,Time Management,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Advanced Tooling,,Final Inspection,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Safety Audit,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Project Execution,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Project Execution,,,,,,,,,,,,,,,,,

--------------------------------------------------

,,,,,,,,,,,,,,,,,
Week 8,,,,,Day 1,,,Day 2,,,Day 3,,,Day 4,,,Day 5
,,,,,,,,,,,,,,,,,
Career Development 109,,,,Period 1,CNC,,,CNC,,,CNC,,,Open,,,Grad Prep
,,,,,,,,,,,,,,,,,
Resume Building 110,,,,,,,,,,,,,,,,,
,,,,Period 2,Shop,,,Shop,,,Shop,,,Open,,,Graduation
Interview Skills 119,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Final Review 108,,,,Period 3,Tooling,,,Prog Practice,,,Prog Practice,,,Open,,,Review
,,,,,,,,,,,,,,,,,
Certification Prep 118,,,,,,,,,,,,,,,,,
,,,,Period 4,Tooling,,,Prog Practice,,,Prog Practice,,,Open,,,Review
Graduation Prep 148,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Portfolio Review 139,,,,Lathe,Open,,,Open,,,Open,,,Open,,,Clean
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shop:,,Class:,,Mill,Open,,,Open,,,Open,,,Open,,,Clean
,,,,,,,,,,,,,,,,,
Career Theory,,Job Search,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Professionalism,,Evaluation,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Final Safety Check,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Open Shop,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Graduation,,,,,,,,,,,,,,,,,
